Sample_PD_ID	tube_barcode_identifier	IRCC_full	IRCC_CASE_ID	Specimen type
PD25828a	FR03483242	CRC0238PRX	CRC0238PR	Xenograft from primary CRC 
PD25829a	FR03484010	CRC0240PRX	CRC0240PR	Xenograft from primary CRC 
PD25830a	FR03483266	CRC0259PRX	CRC0259PR	Xenograft from primary CRC 
PD25831a	FR03483989	CRC0368PRX	CRC0368PR	Xenograft from primary CRC 
PD25831c	FR03483613	CRC0482LMH	CRC0482LM	Original CRC metastasis
PD25831d2	FR03480521	CRC0482LMX	CRC0482LM	Xenograft from CRC metastasis
PD25832a	FR03484055	CRC0371LMX	CRC0371LM	Xenograft from CRC metastasis
PD25833a2	FR03480654	CRC0691LMX	CRC0691LM	Xenograft from CRC metastasis
PD25834c2	FR03480627	CRC0552LMX	CRC0552LM	Xenograft from CRC metastasis
PD25835a	FR03484014	CRC0400LMX	CRC0400LM	Xenograft from CRC metastasis
PD25836a	FR03483993	CRC0419LMX	CRC0419LM	Xenograft from CRC metastasis
PD25837a	FR03483249	CRC0282PRX	CRC0282PR	Xenograft from primary CRC 
PD25838a	FR03482929	CRC0166LMX	CRC0166LM	Xenograft from CRC metastasis
PD25838c	FR03484058	CRC0306LMX	CRC0306LM	Xenograft from CRC metastasis
PD25838d	FR03483972	CRC0307LMX	CRC0307LM	Xenograft from CRC metastasis
PD25839a2	FR03479875	CRC0337PRX	CRC0337PR	Xenograft from primary CRC 
PD25840a	FR03484031	CRC0356LMX	CRC0356LM	Xenograft from CRC metastasis
PD25841a	FR03484039	CRC0357LMX	CRC0357LM	Xenograft from CRC metastasis
PD25842a	FR03484061	CRC0360PRX	CRC0360PR	Xenograft from primary CRC 
PD25843a	FR03483981	CRC0367PRX	CRC0367PR	Xenograft from primary CRC 
PD25844a	FR03484021	CRC0374PRX	CRC0374PR	Xenograft from primary CRC 
PD25845a	FR03483974	CRC0373PRX	CRC0373PR	Xenograft from primary CRC 
PD25846a	FR03483282	CRC0269PRX	CRC0269PR	Xenograft from primary CRC 
